Timestamp;byte_s;Seq;Cmd;hurtType;armorType
0;246;223;8;0;0
1093;159;223;8;0;0
2089;159;223;8;0;0
3077;159;223;8;0;0
4076;159;223;8;0;0
5079;159;223;8;0;0
6079;159;223;8;0;0
7077;159;223;8;0;0
8076;159;223;8;0;0
9080;159;223;8;0;0
10079;159;223;8;0;0
11077;159;223;8;0;0
12076;159;223;8;0;0
13089;159;223;8;0;0
14077;159;223;8;0;0
15076;159;223;8;0;0
16079;0;0;0;0;0
17079;0;0;0;0;0
18077;16;0;0;0;0
19077;0;225;8;0;0
20080;187;225;8;0;0
21079;187;225;8;0;0
22078;187;225;8;0;0
23078;187;225;8;0;0
24090;187;225;8;0;0
25078;187;225;8;0;0
26078;187;225;8;0;0
27077;187;225;8;0;0
28077;187;225;8;0;0
29076;187;225;8;0;0
30076;187;225;8;0;0
31080;187;225;8;0;0
32080;187;225;8;0;0
33078;187;225;8;0;0
34106;187;225;8;0;0
35079;187;225;8;0;0
36078;189;0;0;0;0
37078;0;0;0;0;0
38078;16;0;0;0;0
39077;0;227;8;0;0
40076;90;227;8;0;0
41080;90;227;8;0;0
42078;90;227;8;0;0
43076;90;227;8;0;0
44080;90;227;8;0;0
45090;90;227;8;0;0
46079;90;227;8;0;0
47077;90;227;8;0;0
48077;90;227;8;0;0
49075;90;227;8;0;0
50080;90;227;8;0;0
51078;90;227;8;0;0
52077;90;227;8;0;0
53075;90;227;8;0;0
54080;90;227;8;0;0
55078;90;227;8;0;0
56091;20;0;0;0;0
57092;0;0;0;0;0
58075;16;0;0;0;0
59080;0;229;8;0;0
60078;129;229;8;0;0
61077;129;229;8;0;0
62080;129;229;8;0;0
63079;129;229;8;0;0
64078;129;229;8;0;0
65077;129;229;8;0;0
66080;129;229;8;0;0
67079;129;229;8;0;0
68089;129;229;8;0;0
69078;129;229;8;0;0
70076;129;229;8;0;0
71075;129;229;8;0;0
72079;129;229;8;0;0
73078;129;229;8;0;0
74076;129;229;8;0;0
75076;129;229;8;0;0
76079;103;0;0;0;0
77079;63;0;0;0;0
78077;16;0;0;0;0
79090;0;231;8;0;0
80079;172;0;0;0;0
81077;184;0;0;0;0
82076;197;0;0;0;0
83080;197;0;0;0;0
84079;197;0;0;0;0
85077;197;0;0;0;0
86076;197;0;0;0;0
87080;197;0;0;0;0
88080;197;0;0;0;0
