Timestamp;fdb;compensate
0;-2.847656E+001;-9.306497E+002
100088;-2.852051E+001;-9.306497E+002
200093;-2.856445E+001;-9.306497E+002
300090;-2.847656E+001;-9.306497E+002
400091;-2.847656E+001;-9.306497E+002
500093;-2.852051E+001;-9.306497E+002
600091;-2.860840E+001;-9.306497E+002
700093;-2.852051E+001;-9.306497E+002
800091;-2.865234E+001;-9.306497E+002
900092;-2.856445E+001;-9.306497E+002
1000089;-2.856445E+001;-9.306497E+002
1100093;-2.847656E+001;-9.306497E+002
1200091;-2.860840E+001;-9.306497E+002
1300088;-2.860840E+001;-9.306497E+002
1400090;-2.856445E+001;-9.306497E+002
1500160;-2.865234E+001;-9.306497E+002
1600088;-2.852051E+001;-9.306497E+002
1700088;-2.847656E+001;-9.306497E+002
1800090;-2.852051E+001;-9.306497E+002
1900079;-2.834473E+001;-9.306497E+002
2000088;-2.852051E+001;-9.306497E+002
2100093;-2.856445E+001;-9.306497E+002
2200206;-2.865234E+001;-9.307358E+002
2300088;-2.856445E+001;-9.311492E+002
2400092;-2.852051E+001;-9.321116E+002
2500090;-2.847656E+001;-9.330825E+002
2600093;-2.852051E+001;-9.340635E+002
2700093;-2.843262E+001;-9.349224E+002
2800091;-2.852051E+001;-9.354567E+002
2900092;-2.843262E+001;-9.356361E+002
3000090;-2.865234E+001;-9.356400E+002
3100089;-2.843262E+001;-9.356400E+002
3200090;-2.843262E+001;-9.356400E+002
3300093;-2.856445E+001;-9.356400E+002
3400089;-2.838867E+001;-9.356400E+002
3500090;-2.852051E+001;-9.356400E+002
3600089;-2.843262E+001;-9.356400E+002
3700089;-2.847656E+001;-9.359927E+002
3800088;-2.847656E+001;-9.368230E+002
3900090;-2.852051E+001;-9.370052E+002
4000089;-2.852051E+001;-9.370052E+002
4100088;-2.852051E+001;-9.370101E+002
4200089;-2.847656E+001;-9.371058E+002
4300093;-2.860840E+001;-9.372769E+002
4400091;-2.852051E+001;-9.376986E+002
4500093;-2.852051E+001;-9.383255E+002
4600142;-2.847656E+001;-9.392417E+002
4700090;-2.847656E+001;-9.406605E+002
4800088;-2.860840E+001;-9.421505E+002
4900090;-2.852051E+001;-9.437016E+002
5000089;-2.856445E+001;-9.451969E+002
5100090;-2.830078E+001;-9.460708E+002
5200090;-2.847656E+001;-9.461841E+002
5300092;-2.838867E+001;-9.462953E+002
5400091;-2.843262E+001;-9.467156E+002
5500093;-2.847656E+001;-9.480788E+002
5600089;-2.838867E+001;-9.497393E+002
5700088;-2.852051E+001;-9.507673E+002
5800090;-2.825684E+001;-9.513516E+002
5900091;-2.843262E+001;-9.519378E+002
6000090;-2.847656E+001;-9.528440E+002
6100146;-2.834473E+001;-9.542137E+002
6200089;-2.852051E+001;-9.551413E+002
6300089;-2.834473E+001;-9.556004E+002
6400090;-2.834473E+001;-9.561147E+002
6500091;-2.843262E+001;-9.572870E+002
6600089;-2.843262E+001;-9.585082E+002
6700091;-2.843262E+001;-9.593317E+002
6800091;-2.843262E+001;-9.599584E+002
6900093;-2.825684E+001;-9.605787E+002
7000090;-2.838867E+001;-9.615179E+002
7100092;-2.834473E+001;-9.629791E+002
7200090;-2.821289E+001;-9.644052E+002
7300092;-2.825684E+001;-9.650994E+002
7400088;-2.816895E+001;-9.652076E+002
7500089;-2.830078E+001;-9.654567E+002
7600089;-2.847656E+001;-9.665999E+002
7700090;-2.838867E+001;-9.674926E+002
7800092;-2.838867E+001;-9.677836E+002
7900078;-2.834473E+001;-9.688171E+002
8000088;-2.834473E+001;-9.698567E+002
8100090;-2.825684E+001;-9.700775E+002
8200089;-2.838867E+001;-9.705589E+002
8300093;-2.834473E+001;-9.716017E+002
8400089;-2.816895E+001;-9.723211E+002
8500093;-2.821289E+001;-9.725637E+002
8600092;-2.830078E+001;-9.733619E+002
8700090;-2.830078E+001;-9.745102E+002
8800091;-2.834473E+001;-9.751845E+002
8900090;-2.834473E+001;-9.757239E+002
9000090;-2.812500E+001;-9.765483E+002
9100089;-2.825684E+001;-9.772419E+002
9200093;-2.821289E+001;-9.774650E+002
9300091;-2.821289E+001;-9.777508E+002
9400090;-2.825684E+001;-9.781310E+002
9500089;-2.834473E+001;-9.783421E+002
9600093;-2.816895E+001;-9.785719E+002
9700090;-2.825684E+001;-9.791454E+002
9800093;-2.825684E+001;-9.797465E+002
9900091;-2.816895E+001;-9.800396E+002
10000093;-2.830078E+001;-9.802369E+002
10100092;-2.830078E+001;-9.805004E+002
10200093;-2.816895E+001;-9.809635E+002
10300088;-2.812500E+001;-9.814100E+002
10400078;-2.834473E+001;-9.817240E+002
10500089;-2.816895E+001;-9.822436E+002
10600088;-2.825684E+001;-9.832183E+002
10700089;-2.808105E+001;-9.840981E+002
10800093;-2.812500E+001;-9.843846E+002
10900088;-2.812500E+001;-9.846215E+002
11000089;-2.825684E+001;-9.856796E+002
11100090;-2.830078E+001;-9.866703E+002
11200092;-2.821289E+001;-9.868640E+002
11300092;-2.825684E+001;-9.869943E+002
11400092;-2.825684E+001;-9.876527E+002
11500091;-2.816895E+001;-9.879769E+002
11600090;-2.812500E+001;-9.879769E+002
11700091;-2.803711E+001;-9.880677E+002
11800090;-2.834473E+001;-9.882423E+002
11900089;-2.816895E+001;-9.882628E+002
12000088;-2.834473E+001;-9.882628E+002
12100092;-2.821289E+001;-9.882628E+002
12200092;-2.812500E+001;-9.882628E+002
12300089;-2.830078E+001;-9.882628E+002
12400089;-2.816895E+001;-9.882628E+002
12500088;-2.825684E+001;-9.882628E+002
12600093;-2.816895E+001;-9.882628E+002
12700090;-2.843262E+001;-9.882628E+002
12800093;-2.812500E+001;-9.882628E+002
12900092;-2.825684E+001;-9.882628E+002
13000090;-2.803711E+001;-9.883641E+002
13100088;-2.830078E+001;-9.884543E+002
13200089;-2.816895E+001;-9.884543E+002
13300089;-2.821289E+001;-9.884543E+002
13400092;-2.830078E+001;-9.884543E+002
13500089;-2.816895E+001;-9.884543E+002
13600089;-2.821289E+001;-9.884543E+002
13700088;-2.825684E+001;-9.886306E+002
13800092;-2.821289E+001;-9.891953E+002
13900092;-2.821289E+001;-9.892734E+002
14000092;-2.821289E+001;-9.892734E+002
14100093;-2.808105E+001;-9.897494E+002
14200093;-2.816895E+001;-9.909286E+002
14300092;-2.812500E+001;-9.914209E+002
14400089;-2.816895E+001;-9.914209E+002
14500090;-2.816895E+001;-9.914209E+002
14600090;-2.816895E+001;-9.919691E+002
14700090;-2.808105E+001;-9.924589E+002
14800089;-2.812500E+001;-9.924589E+002
14900089;-2.830078E+001;-9.926553E+002
15000088;-2.825684E+001;-9.932126E+002
15100092;-2.808105E+001;-9.932253E+002
15200092;-2.825684E+001;-9.932253E+002
15300089;-2.830078E+001;-9.935814E+002
15400093;-2.816895E+001;-9.939627E+002
15500093;-2.799316E+001;-9.939627E+002
15600090;-2.812500E+001;-9.939627E+002
15700093;-2.808105E+001;-9.944347E+002
15800090;-2.816895E+001;-9.953988E+002
15900093;-2.808105E+001;-9.955064E+002
16000090;-2.808105E+001;-9.955064E+002
16100092;-2.830078E+001;-9.956166E+002
16200090;-2.830078E+001;-9.966253E+002
16300089;-2.816895E+001;-9.968331E+002
16400090;-2.808105E+001;-9.968331E+002
16500089;-2.821289E+001;-9.968331E+002
16600092;-2.816895E+001;-9.974373E+002
16700088;-2.808105E+001;-9.981421E+002
16800092;-2.803711E+001;-9.981699E+002
16900090;-2.830078E+001;-9.981806E+002
17000093;-2.808105E+001;-9.985996E+002
17100090;-2.821289E+001;-9.988945E+002
17200093;-2.816895E+001;-9.988945E+002
17300092;-2.812500E+001;-9.988945E+002
17400090;-2.808105E+001;-9.991771E+002
17500090;-2.821289E+001;-9.998278E+002
17600092;-2.821289E+001;-9.998535E+002
17700089;-2.825684E+001;-9.998535E+002
17800089;-2.821289E+001;-1.000077E+003
17900092;-2.812500E+001;-1.000538E+003
18000091;-2.812500E+001;-1.000538E+003
18100090;-2.821289E+001;-1.000538E+003
18200088;-2.808105E+001;-1.000912E+003
18300092;-2.816895E+001;-1.001442E+003
18400091;-2.808105E+001;-1.001442E+003
18500093;-2.816895E+001;-1.001442E+003
18600088;-2.794922E+001;-1.001706E+003
18700090;-2.816895E+001;-1.002863E+003
18800092;-2.816895E+001;-1.003080E+003
18900091;-2.799316E+001;-1.003080E+003
19000093;-2.812500E+001;-1.003139E+003
19100088;-2.803711E+001;-1.003676E+003
19200089;-2.816895E+001;-1.004242E+003
19300079;-2.812500E+001;-1.004335E+003
19400091;-2.816895E+001;-1.004345E+003
19500092;-2.812500E+001;-1.004833E+003
19600092;-2.825684E+001;-1.004867E+003
19700091;-2.794922E+001;-1.004867E+003
19800090;-2.812500E+001;-1.004867E+003
19900088;-2.803711E+001;-1.005020E+003
20000093;-2.812500E+001;-1.005032E+003
20100091;-2.803711E+001;-1.005032E+003
20200090;-2.812500E+001;-1.005032E+003
20300091;-2.803711E+001;-1.005253E+003
20400091;-2.808105E+001;-1.005551E+003
20500089;-2.812500E+001;-1.005551E+003
20600089;-2.812500E+001;-1.005551E+003
20700089;-2.816895E+001;-1.005975E+003
20800092;-2.812500E+001;-1.006495E+003
20900089;-2.799316E+001;-1.006495E+003
21000093;-2.808105E+001;-1.006513E+003
21100090;-2.825684E+001;-1.007168E+003
21200093;-2.816895E+001;-1.007506E+003
21300093;-2.816895E+001;-1.007506E+003
21400091;-2.803711E+001;-1.007512E+003
21500092;-2.816895E+001;-1.008290E+003
21600089;-2.816895E+001;-1.009058E+003
21700092;-2.803711E+001;-1.009064E+003
21800093;-2.821289E+001;-1.009064E+003
21900091;-2.799316E+001;-1.009898E+003
22000093;-2.812500E+001;-1.011147E+003
22100092;-2.812500E+001;-1.011209E+003
22200089;-2.816895E+001;-1.011209E+003
22300091;-2.794922E+001;-1.011733E+003
22400089;-2.816895E+001;-1.012221E+003
22500093;-2.803711E+001;-1.012221E+003
22600090;-2.799316E+001;-1.012221E+003
22700089;-2.816895E+001;-1.012525E+003
22800088;-2.812500E+001;-1.013186E+003
