Timestamp;fdb;compensate
0;-4.833984E-001;-1.081734E+003
100090;-3.515625E-001;-1.081734E+003
200089;-3.515625E-001;-1.081734E+003
300089;-2.636719E-001;-1.081734E+003
400089;-1.757813E-001;-1.081734E+003
500090;-3.955078E-001;-1.081734E+003
600090;-2.197266E-001;-1.081734E+003
700092;-3.076172E-001;-1.081734E+003
800092;-3.515625E-001;-1.081734E+003
900092;-1.318359E-001;-1.081734E+003
1000090;-3.955078E-001;-1.081734E+003
1100091;-2.636719E-001;-1.081734E+003
1200093;-3.515625E-001;-1.081734E+003
1300091;-1.318359E-001;-1.081734E+003
1400089;-3.076172E-001;-1.081734E+003
1500089;-3.076172E-001;-1.081734E+003
1600089;-2.197266E-001;-1.081734E+003
1700090;-3.076172E-001;-1.081734E+003
1800091;-2.197266E-001;-1.081734E+003
1900093;-3.955078E-001;-1.081734E+003
2000089;-3.076172E-001;-1.081734E+003
2100093;-3.515625E-001;-1.081734E+003
2200092;-3.515625E-001;-1.081734E+003
2300092;-3.515625E-001;-1.081734E+003
2400092;-3.515625E-001;-1.081734E+003
2500092;-3.076172E-001;-1.081734E+003
2600089;-3.955078E-001;-1.081734E+003
2700090;-3.076172E-001;-1.081734E+003
2800093;-3.076172E-001;-1.081734E+003
2900089;-2.197266E-001;-1.081734E+003
3000091;-2.197266E-001;-1.081734E+003
3100102;-2.636719E-001;-1.081734E+003
3200092;-2.636719E-001;-1.081734E+003
3300092;-2.636719E-001;-1.081734E+003
3400093;-1.318359E-001;-1.081734E+003
3500089;-3.955078E-001;-1.081734E+003
3600089;-2.636719E-001;-1.081734E+003
3700091;-2.636719E-001;-1.081734E+003
3800092;-3.955078E-001;-1.081734E+003
3900089;-3.955078E-001;-1.081734E+003
4000093;-2.636719E-001;-1.081734E+003
4100088;-2.636719E-001;-1.081734E+003
4200089;-3.955078E-001;-1.081734E+003
4300088;-3.076172E-001;-1.081734E+003
4400089;-4.394531E-001;-1.081734E+003
4500088;-2.197266E-001;-1.081734E+003
4600079;-1.757813E-001;-1.081734E+003
4700093;-3.515625E-001;-1.081734E+003
4800090;-2.197266E-001;-1.081734E+003
4900088;-1.318359E-001;-1.081734E+003
5000089;-3.076172E-001;-1.081734E+003
5100091;-3.515625E-001;-1.081734E+003
5200092;-3.076172E-001;-1.081734E+003
5300090;-1.757813E-001;-1.081734E+003
5400093;-2.636719E-001;-1.081734E+003
5500089;-3.515625E-001;-1.081734E+003
5600091;-2.197266E-001;-1.081734E+003
5700091;-1.757813E-001;-1.081734E+003
5800093;-2.636719E-001;-1.081734E+003
5900090;-3.955078E-001;-1.081734E+003
6000115;-2.636719E-001;-1.081734E+003
6100091;-1.757813E-001;-1.081734E+003
6200093;-3.955078E-001;-1.081734E+003
6300092;-2.636719E-001;-1.081734E+003
6400092;-2.636719E-001;-1.081734E+003
6500093;-2.197266E-001;-1.081734E+003
6600092;-3.515625E-001;-1.081734E+003
6700188;-3.515625E-001;-1.081734E+003
6800093;-3.076172E-001;-1.081734E+003
6900091;-3.955078E-001;-1.081734E+003
7000091;-3.076172E-001;-1.081734E+003
7100089;-3.955078E-001;-1.081734E+003
7200093;-2.636719E-001;-1.081734E+003
7300093;-2.197266E-001;-1.081734E+003
7400088;-1.757813E-001;-1.081734E+003
7500089;-4.394531E-001;-1.081734E+003
7600092;-2.636719E-001;-1.081734E+003
7700089;-4.394531E-001;-1.081734E+003
7800090;-2.636719E-001;-1.081734E+003
7900092;-2.197266E-001;-1.081734E+003
8000092;-3.076172E-001;-1.081734E+003
8100092;-2.197266E-001;-1.081734E+003
8200091;-2.197266E-001;-1.081612E+003
8300092;-1.757813E-001;-1.081358E+003
8400090;-2.197266E-001;-1.080963E+003
8500091;-3.515625E-001;-1.080506E+003
8600093;-3.955078E-001;-1.079960E+003
8700091;-3.076172E-001;-1.079380E+003
8800091;-4.394531E-001;-1.078826E+003
8900092;-3.955078E-001;-1.078335E+003
9000091;-2.636719E-001;-1.077850E+003
9100092;-1.757813E-001;-1.077359E+003
9200088;-3.076172E-001;-1.076869E+003
9300089;-2.197266E-001;-1.076438E+003
9400090;-3.515625E-001;-1.076043E+003
9500092;-4.394531E-001;-1.075589E+003
9600092;-2.197266E-001;-1.075103E+003
9700090;-3.515625E-001;-1.074613E+003
9800089;-4.833984E-001;-1.074127E+003
9900092;-2.636719E-001;-1.073637E+003
10000090;-2.197266E-001;-1.073148E+003
10100091;-5.273438E-001;-1.072758E+003
10200089;-2.636719E-001;-1.072409E+003
10300089;-2.636719E-001;-1.072110E+003
10400077;-3.955078E-001;-1.071915E+003
10500088;-3.955078E-001;-1.071723E+003
10600091;-4.394531E-001;-1.071639E+003
10700093;-3.515625E-001;-1.071639E+003
10800093;-3.955078E-001;-1.071639E+003
10900089;-4.833984E-001;-1.071639E+003
11000090;-3.076172E-001;-1.071639E+003
11100103;-3.515625E-001;-1.071639E+003
11200092;-4.833984E-001;-1.071639E+003
11300089;-3.076172E-001;-1.071639E+003
11400093;-3.515625E-001;-1.071639E+003
11500088;-3.515625E-001;-1.071639E+003
11600091;-4.394531E-001;-1.071639E+003
11700093;-4.394531E-001;-1.071578E+003
11800092;-4.394531E-001;-1.071421E+003
11900089;-3.515625E-001;-1.071229E+003
12000089;-1.318359E-001;-1.071040E+003
12100093;-3.076172E-001;-1.070771E+003
12200090;-3.076172E-001;-1.070472E+003
12300093;-3.955078E-001;-1.070176E+003
12400088;-3.076172E-001;-1.069877E+003
12500090;-2.636719E-001;-1.069605E+003
12600090;-2.636719E-001;-1.069415E+003
12700089;-2.197266E-001;-1.069224E+003
12800089;-3.076172E-001;-1.069034E+003
12900093;-3.515625E-001;-1.068843E+003
13000092;-3.955078E-001;-1.068630E+003
13100079;-2.636719E-001;-1.068333E+003
13200093;-4.394531E-001;-1.068034E+003
13300090;-3.955078E-001;-1.067735E+003
13400091;-3.515625E-001;-1.067439E+003
13500092;-3.955078E-001;-1.067140E+003
13600093;-4.394531E-001;-1.066841E+003
13700093;-5.273438E-001;-1.066545E+003
13800091;-3.955078E-001;-1.066246E+003
13900092;-4.833984E-001;-1.065950E+003
14000092;-3.515625E-001;-1.065666E+003
14100091;-3.515625E-001;-1.065367E+003
14200091;-3.955078E-001;-1.065071E+003
14300091;-3.955078E-001;-1.064772E+003
14400089;-3.955078E-001;-1.064473E+003
14500089;-4.833984E-001;-1.064177E+003
14600089;-3.955078E-001;-1.063878E+003
14700092;-3.955078E-001;-1.063579E+003
14800089;-3.515625E-001;-1.063283E+003
14900093;-3.515625E-001;-1.062984E+003
15000090;-3.955078E-001;-1.062688E+003
15100092;-4.394531E-001;-1.062389E+003
15200090;-3.515625E-001;-1.062090E+003
15300089;-4.833984E-001;-1.061794E+003
15400090;-4.394531E-001;-1.061495E+003
15500092;-4.833984E-001;-1.061196E+003
15600091;-2.636719E-001;-1.060947E+003
15700091;-5.273438E-001;-1.060755E+003
15800089;-3.515625E-001;-1.060564E+003
15900091;-3.955078E-001;-1.060375E+003
16000089;-3.955078E-001;-1.060183E+003
