Timestamp;fdb;compensate
0;1.217285E+001;-1.654703E+003
100091;1.226074E+001;-1.654703E+003
200089;1.226074E+001;-1.654703E+003
300110;1.230469E+001;-1.654703E+003
400089;1.230469E+001;-1.654703E+003
500092;1.234863E+001;-1.654703E+003
600090;1.243652E+001;-1.654703E+003
700092;1.239258E+001;-1.654703E+003
800089;1.230469E+001;-1.654703E+003
900091;1.239258E+001;-1.654703E+003
1000129;1.243652E+001;-1.654703E+003
1100092;1.243652E+001;-1.654703E+003
1200093;1.234863E+001;-1.654703E+003
1300093;1.230469E+001;-1.654703E+003
1400090;1.234863E+001;-1.654703E+003
1500090;1.239258E+001;-1.654541E+003
1600100;1.243652E+001;-1.654409E+003
1700089;1.234863E+001;-1.654409E+003
1800091;1.239258E+001;-1.654409E+003
1900089;1.239258E+001;-1.654409E+003
2000091;1.239258E+001;-1.654409E+003
2100092;1.221680E+001;-1.654409E+003
2200089;1.212891E+001;-1.654409E+003
2300090;1.239258E+001;-1.654409E+003
2400090;1.234863E+001;-1.654225E+003
2500089;1.234863E+001;-1.654020E+003
2600093;1.226074E+001;-1.653829E+003
2700093;1.230469E+001;-1.653637E+003
2800088;1.226074E+001;-1.653448E+003
2900090;1.226074E+001;-1.653233E+003
3000091;1.234863E+001;-1.652885E+003
3100088;1.234863E+001;-1.652494E+003
3200088;1.239258E+001;-1.652099E+003
3300090;1.226074E+001;-1.651675E+003
3400090;1.226074E+001;-1.651105E+003
3500092;1.248047E+001;-1.650519E+003
3600092;1.234863E+001;-1.649939E+003
3700089;1.243652E+001;-1.649353E+003
3800089;1.230469E+001;-1.648767E+003
3900093;1.248047E+001;-1.648187E+003
4000093;1.243652E+001;-1.647600E+003
4100089;1.243652E+001;-1.647014E+003
4200090;1.217285E+001;-1.646434E+003
4300093;1.230469E+001;-1.645848E+003
4400093;1.226074E+001;-1.645268E+003
4500090;1.234863E+001;-1.644681E+003
4600090;1.221680E+001;-1.644095E+003
4700089;1.234863E+001;-1.643543E+003
4800089;1.252441E+001;-1.643127E+003
4900092;1.217285E+001;-1.642909E+003
5000092;1.234863E+001;-1.642740E+003
5100093;1.234863E+001;-1.642645E+003
5200089;1.234863E+001;-1.642549E+003
5300093;1.230469E+001;-1.642361E+003
5400089;1.226074E+001;-1.642170E+003
5500093;1.243652E+001;-1.641981E+003
5600092;1.234863E+001;-1.641789E+003
5700089;1.234863E+001;-1.641598E+003
5800090;1.230469E+001;-1.641408E+003
5900089;1.230469E+001;-1.641217E+003
6000091;1.230469E+001;-1.641026E+003
6100092;1.230469E+001;-1.640836E+003
6200092;1.230469E+001;-1.640645E+003
6300091;1.234863E+001;-1.640453E+003
6400088;1.230469E+001;-1.640264E+003
6500091;1.234863E+001;-1.640072E+003
6600088;1.239258E+001;-1.639883E+003
6700093;1.226074E+001;-1.639692E+003
6800092;1.234863E+001;-1.639500E+003
6900093;1.234863E+001;-1.639311E+003
7000089;1.234863E+001;-1.639119E+003
7100089;1.221680E+001;-1.638928E+003
7200091;1.234863E+001;-1.638738E+003
7300093;1.230469E+001;-1.638547E+003
7400092;1.234863E+001;-1.638356E+003
7500093;1.239258E+001;-1.638166E+003
7600093;1.226074E+001;-1.637975E+003
7700093;1.239258E+001;-1.637785E+003
7800093;1.226074E+001;-1.637594E+003
7900093;1.239258E+001;-1.637402E+003
8000091;1.234863E+001;-1.637213E+003
8100089;1.234863E+001;-1.637022E+003
8200092;1.226074E+001;-1.636830E+003
8300093;1.230469E+001;-1.636641E+003
8400088;1.212891E+001;-1.636449E+003
8500088;1.243652E+001;-1.636258E+003
8600093;1.234863E+001;-1.636068E+003
8700088;1.230469E+001;-1.635877E+003
8800092;1.239258E+001;-1.635688E+003
8900090;1.234863E+001;-1.635496E+003
9000090;1.239258E+001;-1.635305E+003
9100092;1.239258E+001;-1.635115E+003
9200090;1.234863E+001;-1.634924E+003
9300089;1.221680E+001;-1.634733E+003
9400093;1.217285E+001;-1.634543E+003
9500089;1.243652E+001;-1.634352E+003
9600090;1.248047E+001;-1.634160E+003
9700090;1.239258E+001;-1.633971E+003
9800091;1.230469E+001;-1.633779E+003
9900093;1.234863E+001;-1.633651E+003
10000090;1.234863E+001;-1.633555E+003
10100092;1.230469E+001;-1.633459E+003
10200089;1.212891E+001;-1.633364E+003
10300093;1.221680E+001;-1.633269E+003
10400089;1.221680E+001;-1.633173E+003
10500091;1.212891E+001;-1.633078E+003
10600091;1.221680E+001;-1.632983E+003
10700093;1.239258E+001;-1.632887E+003
10800093;1.226074E+001;-1.632767E+003
10900091;1.230469E+001;-1.632575E+003
11000090;1.239258E+001;-1.632386E+003
11100092;1.230469E+001;-1.632194E+003
11200093;1.239258E+001;-1.632003E+003
11300091;1.230469E+001;-1.631814E+003
11400093;1.230469E+001;-1.631622E+003
11500093;1.230469E+001;-1.631431E+003
11600093;1.234863E+001;-1.631241E+003
11700093;1.226074E+001;-1.631050E+003
11800092;1.234863E+001;-1.630859E+003
11900093;1.234863E+001;-1.630669E+003
12000107;1.234863E+001;-1.630478E+003
12100089;1.230469E+001;-1.630288E+003
12200093;1.234863E+001;-1.630097E+003
12300091;1.230469E+001;-1.629905E+003
12400090;1.239258E+001;-1.629716E+003
12500090;1.230469E+001;-1.629525E+003
12600089;1.234863E+001;-1.629380E+003
12700093;1.234863E+001;-1.629285E+003
12800092;1.230469E+001;-1.629190E+003
12900091;1.234863E+001;-1.629094E+003
13000093;1.226074E+001;-1.628999E+003
13100093;1.221680E+001;-1.628903E+003
13200091;1.234863E+001;-1.628809E+003
13300089;1.234863E+001;-1.628713E+003
13400091;1.221680E+001;-1.628582E+003
13500090;1.234863E+001;-1.628393E+003
13600089;1.239258E+001;-1.628201E+003
13700093;1.248047E+001;-1.628010E+003
13800252;1.252441E+001;-1.627820E+003
13900090;1.230469E+001;-1.627629E+003
14000091;1.221680E+001;-1.627438E+003
14100092;1.226074E+001;-1.627248E+003
14200092;1.221680E+001;-1.627057E+003
14300090;1.226074E+001;-1.626867E+003
14400091;1.230469E+001;-1.626676E+003
14500091;1.226074E+001;-1.626484E+003
14600089;1.226074E+001;-1.626295E+003
14700092;1.226074E+001;-1.626104E+003
14800091;1.243652E+001;-1.625912E+003
14900092;1.234863E+001;-1.625723E+003
15000093;1.217285E+001;-1.625531E+003
15100089;1.221680E+001;-1.625340E+003
15200091;1.243652E+001;-1.625151E+003
15300089;1.248047E+001;-1.624959E+003
15400092;1.226074E+001;-1.624770E+003
15500091;1.217285E+001;-1.624578E+003
15600091;1.204102E+001;-1.624387E+003
15700093;1.239258E+001;-1.624197E+003
15800090;1.239258E+001;-1.624006E+003
15900093;1.230469E+001;-1.623815E+003
16000090;1.226074E+001;-1.623625E+003
16100091;1.217285E+001;-1.623434E+003
16200092;1.239258E+001;-1.623242E+003
16300093;1.212891E+001;-1.623053E+003
16400091;1.243652E+001;-1.622861E+003
16500092;1.234863E+001;-1.622672E+003
16600090;1.221680E+001;-1.622481E+003
16700092;1.234863E+001;-1.622289E+003
16800090;1.234863E+001;-1.622100E+003
16900092;1.226074E+001;-1.621908E+003
17000092;1.226074E+001;-1.621717E+003
17100089;1.217285E+001;-1.621527E+003
17200092;1.221680E+001;-1.621336E+003
17300093;1.226074E+001;-1.621145E+003
17400092;1.221680E+001;-1.620955E+003
17500132;1.226074E+001;-1.620764E+003
17600089;1.226074E+001;-1.620574E+003
17700093;1.221680E+001;-1.620383E+003
17800090;1.230469E+001;-1.620192E+003
17900091;1.230469E+001;-1.620002E+003
18000090;1.230469E+001;-1.619811E+003
18100091;1.221680E+001;-1.619619E+003
18200089;1.221680E+001;-1.619430E+003
18300091;1.221680E+001;-1.619238E+003
18400088;1.226074E+001;-1.619047E+003
18500093;1.226074E+001;-1.618858E+003
18600092;1.230469E+001;-1.618666E+003
18700092;1.217285E+001;-1.618477E+003
18800091;1.226074E+001;-1.618270E+003
18900091;1.226074E+001;-1.618025E+003
19000089;1.221680E+001;-1.617729E+003
19100092;1.221680E+001;-1.617430E+003
19200093;1.226074E+001;-1.617130E+003
19300092;1.221680E+001;-1.616834E+003
19400091;1.221680E+001;-1.616535E+003
19500089;1.230469E+001;-1.616239E+003
19600092;1.226074E+001;-1.615940E+003
19700090;1.226074E+001;-1.615641E+003
19800093;1.226074E+001;-1.615345E+003
19900090;1.230469E+001;-1.615046E+003
20000091;1.221680E+001;-1.614679E+003
20100089;1.217285E+001;-1.614288E+003
20200089;1.226074E+001;-1.613893E+003
20300089;1.221680E+001;-1.613498E+003
20400090;1.217285E+001;-1.613108E+003
20500089;1.226074E+001;-1.612713E+003
20600091;1.226074E+001;-1.612322E+003
20700091;1.221680E+001;-1.611927E+003
20800089;1.221680E+001;-1.611533E+003
20900093;1.199707E+001;-1.611142E+003
21000093;1.226074E+001;-1.610747E+003
21100093;1.221680E+001;-1.610352E+003
21200093;1.226074E+001;-1.609962E+003
