Timestamp;fdb;compensate
0;-2.904785E+001;-8.622686E+002
100093;-2.891602E+001;-8.622686E+002
200092;-2.909180E+001;-8.622686E+002
300090;-2.904785E+001;-8.622686E+002
400092;-2.895996E+001;-8.622686E+002
500091;-2.913574E+001;-8.622686E+002
600093;-2.895996E+001;-8.622686E+002
700088;-2.895996E+001;-8.622686E+002
800089;-2.904785E+001;-8.622686E+002
900088;-2.904785E+001;-8.622686E+002
1000091;-2.904785E+001;-8.622686E+002
1100093;-2.891602E+001;-8.622686E+002
1200089;-2.891602E+001;-8.622686E+002
1300093;-2.900391E+001;-8.622686E+002
1400093;-2.900391E+001;-8.622988E+002
1500092;-2.900391E+001;-8.626394E+002
1600092;-2.904785E+001;-8.631327E+002
1700093;-2.887207E+001;-8.637189E+002
1800091;-2.900391E+001;-8.643051E+002
1900090;-2.895996E+001;-8.648853E+002
2000091;-2.887207E+001;-8.654714E+002
2100093;-2.900391E+001;-8.660516E+002
2200092;-2.913574E+001;-8.666378E+002
2300093;-2.882813E+001;-8.672240E+002
2400093;-2.904785E+001;-8.678042E+002
2500091;-2.895996E+001;-8.683904E+002
2600093;-2.900391E+001;-8.689766E+002
2700091;-2.895996E+001;-8.694786E+002
2800090;-2.882813E+001;-8.698724E+002
2900092;-2.895996E+001;-8.701049E+002
3000091;-2.891602E+001;-8.701146E+002
3100093;-2.891602E+001;-8.701146E+002
3200089;-2.891602E+001;-8.701146E+002
3300092;-2.895996E+001;-8.701146E+002
3400093;-2.904785E+001;-8.701146E+002
3500088;-2.913574E+001;-8.701146E+002
3600090;-2.895996E+001;-8.701146E+002
3700090;-2.900391E+001;-8.701146E+002
3800092;-2.887207E+001;-8.701146E+002
3900093;-2.891602E+001;-8.702035E+002
4000091;-2.909180E+001;-8.702992E+002
4100090;-2.900391E+001;-8.703549E+002
4200089;-2.891602E+001;-8.703549E+002
4300092;-2.909180E+001;-8.703549E+002
4400089;-2.887207E+001;-8.703549E+002
4500088;-2.904785E+001;-8.703549E+002
4600090;-2.891602E+001;-8.703549E+002
4700091;-2.904785E+001;-8.703549E+002
4800089;-2.909180E+001;-8.703549E+002
4900091;-2.891602E+001;-8.703549E+002
5000093;-2.900391E+001;-8.703549E+002
5100090;-2.900391E+001;-8.703549E+002
5200089;-2.900391E+001;-8.703549E+002
5300093;-2.900391E+001;-8.703549E+002
5400093;-2.895996E+001;-8.703685E+002
5500090;-2.887207E+001;-8.704613E+002
5600092;-2.891602E+001;-8.707123E+002
5700089;-2.891602E+001;-8.710024E+002
5800093;-2.891602E+001;-8.712955E+002
5900090;-2.900391E+001;-8.715886E+002
6000092;-2.887207E+001;-8.718787E+002
6100089;-2.904785E+001;-8.721718E+002
6200089;-2.895996E+001;-8.724649E+002
6300093;-2.895996E+001;-8.727550E+002
6400092;-2.887207E+001;-8.730481E+002
6500090;-2.882813E+001;-8.733382E+002
6600088;-2.891602E+001;-8.736313E+002
6700092;-2.882813E+001;-8.739244E+002
6800091;-2.878418E+001;-8.742145E+002
6900093;-2.895996E+001;-8.745076E+002
7000091;-2.895996E+001;-8.748007E+002
7100090;-2.904785E+001;-8.750908E+002
7200090;-2.900391E+001;-8.753839E+002
7300089;-2.891602E+001;-8.756769E+002
7400091;-2.900391E+001;-8.759670E+002
7500088;-2.904785E+001;-8.762601E+002
7600088;-2.878418E+001;-8.764848E+002
7700091;-2.895996E+001;-8.766822E+002
7800091;-2.891602E+001;-8.768796E+002
7900091;-2.895996E+001;-8.770750E+002
8000089;-2.900391E+001;-8.772723E+002
8100090;-2.895996E+001;-8.774697E+002
8200091;-2.895996E+001;-8.776651E+002
8300091;-2.895996E+001;-8.778625E+002
8400089;-2.878418E+001;-8.780599E+002
8500089;-2.895996E+001;-8.782552E+002
