Timestamp;fdb;compensate
0;-2.926758E+001;-8.637068E+002
100090;-2.917969E+001;-8.637068E+002
200091;-2.926758E+001;-8.637068E+002
300090;-2.931152E+001;-8.637068E+002
400089;-2.922363E+001;-8.637068E+002
500090;-2.931152E+001;-8.637068E+002
600093;-2.935547E+001;-8.637068E+002
700089;-2.922363E+001;-8.637068E+002
800092;-2.922363E+001;-8.637068E+002
900089;-2.926758E+001;-8.637068E+002
1000089;-2.931152E+001;-8.637068E+002
1100090;-2.913574E+001;-8.637068E+002
1200092;-2.926758E+001;-8.637068E+002
1300091;-2.913574E+001;-8.637068E+002
1400089;-2.935547E+001;-8.637068E+002
1500089;-2.926758E+001;-8.637068E+002
1600093;-2.922363E+001;-8.637068E+002
1700090;-2.917969E+001;-8.637068E+002
1800090;-2.917969E+001;-8.637068E+002
1900091;-2.926758E+001;-8.637068E+002
2000092;-2.913574E+001;-8.637068E+002
2100090;-2.904785E+001;-8.637068E+002
2200093;-2.917969E+001;-8.637068E+002
2300093;-2.922363E+001;-8.637068E+002
2400091;-2.926758E+001;-8.637068E+002
2500093;-2.926758E+001;-8.637068E+002
2600092;-2.926758E+001;-8.637068E+002
2700090;-2.909180E+001;-8.637068E+002
2800090;-2.926758E+001;-8.637068E+002
2900088;-2.931152E+001;-8.637068E+002
3000092;-2.935547E+001;-8.637068E+002
3100091;-2.922363E+001;-8.637068E+002
3200088;-2.922363E+001;-8.637068E+002
3300090;-2.922363E+001;-8.637068E+002
3400090;-2.922363E+001;-8.637068E+002
3500090;-2.922363E+001;-8.637826E+002
3600091;-2.922363E+001;-8.644791E+002
3700092;-2.939941E+001;-8.653584E+002
3800089;-2.917969E+001;-8.661371E+002
3900090;-2.904785E+001;-8.667702E+002
4000093;-2.913574E+001;-8.673564E+002
4100089;-2.926758E+001;-8.677294E+002
4200090;-2.926758E+001;-8.678988E+002
4300092;-2.931152E+001;-8.679017E+002
4400092;-2.926758E+001;-8.679017E+002
4500093;-2.922363E+001;-8.679017E+002
4600091;-2.913574E+001;-8.679017E+002
4700093;-2.922363E+001;-8.679017E+002
4800092;-2.913574E+001;-8.679017E+002
4900090;-2.926758E+001;-8.679017E+002
5000092;-2.913574E+001;-8.679017E+002
5100090;-2.935547E+001;-8.679965E+002
5200092;-2.917969E+001;-8.680922E+002
5300090;-2.926758E+001;-8.681869E+002
5400089;-2.917969E+001;-8.682826E+002
5500093;-2.909180E+001;-8.683773E+002
5600092;-2.931152E+001;-8.684730E+002
5700089;-2.917969E+001;-8.685687E+002
5800089;-2.931152E+001;-8.686635E+002
5900092;-2.935547E+001;-8.688193E+002
6000092;-2.931152E+001;-8.690970E+002
6100091;-2.922363E+001;-8.695747E+002
6200091;-2.913574E+001;-8.700652E+002
6300090;-2.909180E+001;-8.705507E+002
6400090;-2.917969E+001;-8.710411E+002
6500089;-2.931152E+001;-8.715316E+002
6600092;-2.917969E+001;-8.720171E+002
6700101;-2.926758E+001;-8.725076E+002
